video_id,word,tag,query,score
example_01,ego-vehicle,NN,a photo of a ego-vehicle,0.0071
example_01,road,NN,a photo of a road,0.3543
example_01,motion,NN,a photo of a motion,0.1643
example_01,wet,NN,a photo of a wet,0.3638
example_01,asphalt,NN,a photo of a asphalt,0.0893
example_01,daylight,NN,a photo of a daylight,0.2672
example_01,road,NN,a photo of a road,0.3543
example_01,bridge,NN,a photo of a bridge,0.0018
example_01,trees,NNS,a photo of trees,0.0895
example_01,autumn,NN,a photo of a autumn,0.4045
example_01,leaves,NNS,a photo of leaves,0.0387
example_01,signs,NNS,a photo of signs,0.0041
example_01,directions,NNS,a photo of directions,0.0227
example_01,eonju-ro,NNP,a photo of a eonju-ro,0.0348
example_01,”,NNP,a photo of a ”,0.1074
example_01,“,NNP,a photo of a “,0.1769
example_01,대치역,NNP,a photo of a 대치역,0.1937
example_01,”,NNP,a photo of a ”,0.1074
example_01,sign,NN,a photo of a sign,0.0148
example_01,“,NNP,a photo of a “,0.1769
example_01,언주로.,NNP,a photo of a 언주로.,0.2136
example_01,”,NNP,a photo of a ”,0.1074
example_01,ahead,NNP,a photo of a ahead,0.0672
example_01,vehicles,NNS,a photo of vehicles,0.2574
example_01,cars,NNS,a photo of cars,0.2915
example_01,buses,NNS,a photo of buses,0.0046
example_01,pedestrians,NNS,a photo of pedestrians,0.0125
example_01,street,NN,a photo of a street,0.3318
example_01,traffic,NN,a photo of a traffic,0.399
example_01,light,NN,a photo of a light,0.0297
example_01,right,NN,a photo of a right,0.138
example_01,van,NN,a photo of a van,0.0222
example_01,curb,NN,a photo of a curb,0.1167
example_01,suv,NNP,a photo of a suv,0.0092
example_01,environment,NN,a photo of a environment,0.143
example_01,features,NNS,a photo of features,0.0904
example_01,buildings,NNS,a photo of buildings,0.183
example_01,roadway,NN,a photo of a roadway,0.4001
example_01,sun,NN,a photo of a sun,0.108
example_01,’,NN,a photo of a ’,0.1242
example_01,s,NN,a photo of a s,0.0569
example_01,glare,NN,a photo of a glare,0.754
example_01,flares,NNS,a photo of flares,0.0201
example_01,clouds,NNS,a photo of clouds,0.0022
example_01,events,NNS,a photo of events,0.0144
example_01,clip,NN,a photo of a clip,0.1755
example_02,proceeds,NNS,a photo of proceeds,0.0108
example_02,city,NN,a photo of a city,0.1804
example_02,street,NN,a photo of a street,0.2279
example_02,motion,NN,a photo of a motion,0.4284
example_02,asphalt,NN,a photo of a asphalt,0.0318
example_02,sky,NN,a photo of a sky,0.1027
example_02,raindrops,NNS,a photo of raindrops,0.0054
example_02,view,NN,a photo of a view,0.0357
example_02,windshield,NN,a photo of a windshield,0.5366
example_02,road,NN,a photo of a road,0.277
example_02,buildings,NNS,a photo of buildings,0.0598
example_02,trees,NNS,a photo of trees,0.0188
example_02,bare,NN,a photo of a bare,0.0841
example_02,signs,NNS,a photo of signs,0.0033
example_02,format,NN,a photo of a format,0.2409
example_02,directions,NNS,a photo of directions,0.0189
example_02,route,NN,a photo of a route,0.1927
example_02,names,NNS,a photo of names,0.0066
example_02,vehicles,NNS,a photo of vehicles,0.2851
example_02,van,NN,a photo of a van,0.0165
example_02,sedan,NN,a photo of a sedan,0.0096
example_02,stripes,NNS,a photo of stripes,0.0106
example_02,cars,NNS,a photo of cars,0.2934
example_02,trucks,NNS,a photo of trucks,0.007
example_02,lanes,NNS,a photo of lanes,0.5411
example_02,sides,NNS,a photo of sides,0.043
example_02,vehicles,NNS,a photo of vehicles,0.2851
example_02,right,NN,a photo of a right,0.1095
example_02,movement,NN,a photo of a movement,0.5303
example_02,ego-vehicle,NN,a photo of a ego-vehicle,0.0093
example_02,’,NNP,a photo of a ’,0.1397
example_02,path,NN,a photo of a path,0.0432
example_02,hazards,NNS,a photo of hazards,0.0167
example_02,maneuvers,NNS,a photo of maneuvers,0.0512
example_02,frames,NNS,a photo of frames,0.0156
example_03,proceeds,NNS,a photo of proceeds,0.0127
example_03,city,NN,a photo of a city,0.1981
example_03,street,NN,a photo of a street,0.2774
example_03,motion,NN,a photo of a motion,0.5972
example_03,road,NN,a photo of a road,0.2905
example_03,surface,NN,a photo of a surface,0.1095
example_03,slick,NN,a photo of a slick,0.1635
example_03,rain,NN,a photo of a rain,0.2043
example_03,view,NN,a photo of a view,0.0365
example_03,windshield,NN,a photo of a windshield,0.0817
example_03,daylight,NN,a photo of a daylight,0.1698
example_03,environment,NN,a photo of a environment,0.1367
example_03,buildings,NNS,a photo of buildings,0.097
example_03,storefronts,NNS,a photo of storefronts,0.0086
example_03,pedestrians,NNS,a photo of pedestrians,0.063
example_03,sidewalks,NNS,a photo of sidewalks,0.0855
example_03,umbrellas,NNS,a photo of umbrellas,0.0001
example_03,downpour,NN,a photo of a downpour,0.0743
example_03,traffic,NNP,a photo of a traffic,0.5373
example_03,silver,NN,a photo of a silver,0.0682
example_03,suv,NNP,a photo of a suv,0.0615
example_03,front,NN,a photo of a front,0.0909
example_03,orange,NN,a photo of a orange,0.0085
