query,clip_dir,score,is_positive,motion,road_context,weather,time_of_day
The vehicle is turning right.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_19/02,0.3814515173435211,True,turning right,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/04,0.07844249904155731,False,curved lane driving,city street,cloudy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/02,0.1999344378709793,False,moving straight,tunnel,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/03,0.1587536633014679,False,moving straight,tunnel,cloudy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_27/02,0.3921605050563812,False,turning left,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_14/03,0.3152129054069519,True,turning right,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/01,0.17029091715812683,False,moving straight,tunnel,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/01,0.3062323033809662,False,moving straight,tunnel,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/02,0.08207917958498001,False,moving straight,city street,cloudy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/04,0.17922158539295197,False,curved lane driving,intersection,rainy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/02,0.42231670022010803,False,moving straight,tunnel,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/01,0.14626669883728027,False,curved lane driving,city street,cloudy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/02,0.12803037464618683,False,moving straight,intersection,snowy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_18/02,0.8368649482727051,False,turning left,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/04,0.213359534740448,False,moving straight,tunnel,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/01,0.307409405708313,True,turning right,city street,cloudy,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/01,0.2374250590801239,False,moving straight,bridge,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/03,0.08443804085254669,False,moving straight,city street,cloudy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/03,0.1627812534570694,False,moving straight,tunnel,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/03,0.14205002784729004,False,moving straight,tunnel,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/03,0.09001024067401886,False,curved lane driving,intersection,rainy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/03,0.097135990858078,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/01,0.08197424560785294,False,stop,city street,snowy,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/04,0.10983876883983612,False,moving straight,city street,cloudy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_27/04,0.2796805500984192,True,turning right,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_7/02,0.4066852033138275,True,turning right,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/02,0.17195427417755127,False,moving straight,bridge,cloudy,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/04,0.22810687124729156,False,moving straight,bridge,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/02,0.20922262966632843,False,moving straight,city street,snowy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/01,0.24332363903522491,False,stop,intersection,snowy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_3/01,0.276124507188797,True,turning right,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_11/04,0.33038386702537537,True,turning right,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/02,0.18406735360622406,False,moving straight,tunnel,cloudy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_6/03,0.34015092253685,False,turning left,roundabout,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/03,0.1555553376674652,False,moving straight,bridge,cloudy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/04,0.1675444394350052,False,moving straight,intersection,snowy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/03,0.24523399770259857,False,moving straight,intersection,snowy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_2/01,0.35048845410346985,False,turning left,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/02,0.15315861999988556,False,curved lane driving,city street,cloudy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/01,0.1743529886007309,False,moving straight,city street,cloudy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/01,0.08362676948308945,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/01,0.17253097891807556,False,stop,tunnel,cloudy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_17/02,0.35184451937675476,True,turning right,city street,cloudy,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/03,0.06137892231345177,False,curved lane driving,city street,cloudy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/04,0.05347776412963867,False,moving straight,city street,cloudy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/04,0.06702267378568649,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/03,0.25456690788269043,False,moving straight,tunnel,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/01,0.2191731184720993,True,turning right,bridge,cloudy,daytime
The vehicle is turning right.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/04,0.16196255385875702,False,moving straight,bridge,cloudy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_8/03,0.47077882289886475,False,turning left,city street,cloudy,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/02,0.18851351737976074,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_15/02,0.4895384609699249,True,turning right,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/01,0.2262754589319229,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/02,0.08558984100818634,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/03,0.08868207782506943,False,moving straight,city street,cloudy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_18/03,0.30060458183288574,True,turning right,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/04,0.19330546259880066,False,moving straight,city street,snowy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/01,0.11376143246889114,False,moving straight,tunnel,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_14/02,0.364267498254776,True,turning right,city street,cloudy,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/02,0.19105000793933868,False,moving straight,city street,cloudy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/04,0.1113365963101387,False,moving straight,tunnel,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/03,0.09216726571321487,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/02,0.08243691921234131,False,stop,intersection,rainy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_6/02,0.3163166642189026,False,turning left,roundabout,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_20/04,0.2372879832983017,True,turning right,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/03,0.5800793170928955,False,turning left,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_4/02,0.4799443185329437,False,turning left,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/03,0.23878657817840576,False,moving straight,bridge,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/03,0.1819879710674286,False,moving straight,city street,snowy,daytime
The vehicle is turning right.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/04,0.12949980795383453,False,moving straight,tunnel,cloudy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_21/02,0.5657840371131897,True,turning right,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/02,0.23665329813957214,False,moving straight,bridge,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/01,0.08054515719413757,False,stop,intersection,rainy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/04,0.1283034235239029,False,moving straight,tunnel,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_1/02,0.28182268142700195,True,turning right,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/04,0.05070045217871666,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/01,0.11360038816928864,False,moving straight,city street,cloudy,nighttime
The vehicle is turning right.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/02,0.18090614676475525,False,moving straight,tunnel,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_26/04,0.28224149346351624,False,moving straight,intersection,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_15/03,0.3893257975578308,False,moving straight,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_7/02,0.19346322119235992,False,moving straight,city street,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_15/04,0.3865284025669098,False,stop,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_5/03,0.39144107699394226,False,moving straight,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_22/03,0.28551873564720154,False,moving straight,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_6/03,0.3720179796218872,False,curved lane driving,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/231116093002_M801C06L62G031_2673_end_extract/drive_4/02,0.1709957718849182,False,moving straight,city street,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_13/01,0.0950499176979065,False,stop,intersection,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_21/01,0.26769566535949707,False,moving straight,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/231116093002_M801C06L62G031_2673_end_extract/drive_1/03,0.19180244207382202,False,moving straight,city street,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_21/02,0.22325508296489716,False,moving straight,city street,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_18/03,0.49714195728302,False,moving straight,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_15/01,0.24827076494693756,False,stop,city street,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_4/01,0.3542904257774353,False,stop,city street,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_6/01,0.3135624825954437,False,curved lane driving,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_11/01,0.11893479526042938,False,stop,city street,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_11/02,0.19878767430782318,False,moving straight,city street,rainy,daytime
The vehicle is turning right.,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/04,0.49430665373802185,False,moving straight,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_31/03,0.13044846057891846,False,moving straight,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_8/03,0.28158050775527954,False,moving straight,city street,sunny,daytime
The vehicle is turning right.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_24/04,0.3211299777030945,False,stop,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_19/02,0.42088577151298523,False,turning right,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/04,0.06890565156936646,False,curved lane driving,city street,cloudy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/02,0.1936437040567398,False,moving straight,tunnel,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/03,0.14758293330669403,False,moving straight,tunnel,cloudy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_27/02,0.3818594515323639,True,turning left,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_14/03,0.32048651576042175,False,turning right,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/01,0.14500649273395538,False,moving straight,tunnel,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/01,0.2930276393890381,False,moving straight,tunnel,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/02,0.06790252029895782,False,moving straight,city street,cloudy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/04,0.24704161286354065,False,curved lane driving,intersection,rainy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/02,0.38986194133758545,False,moving straight,tunnel,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/01,0.17149953544139862,False,curved lane driving,city street,cloudy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/02,0.11761068552732468,False,moving straight,intersection,snowy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_18/02,0.8503710627555847,True,turning left,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/04,0.217396542429924,False,moving straight,tunnel,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/01,0.30057859420776367,False,turning right,city street,cloudy,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/01,0.23687034845352173,False,moving straight,bridge,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/03,0.08244311064481735,False,moving straight,city street,cloudy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/03,0.13859763741493225,False,moving straight,tunnel,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/03,0.12459497898817062,False,moving straight,tunnel,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/03,0.0829712525010109,False,curved lane driving,intersection,rainy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/03,0.10533563047647476,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/01,0.07753177732229233,False,stop,city street,snowy,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/04,0.10717959702014923,False,moving straight,city street,cloudy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_27/04,0.2770616114139557,False,turning right,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_7/02,0.39110785722732544,False,turning right,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/02,0.18272185325622559,False,moving straight,bridge,cloudy,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/04,0.2220093011856079,False,moving straight,bridge,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/02,0.18026424944400787,False,moving straight,city street,snowy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/01,0.21386928856372833,False,stop,intersection,snowy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_3/01,0.3055594265460968,False,turning right,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_11/04,0.32938018441200256,False,turning right,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/02,0.175338014960289,False,moving straight,tunnel,cloudy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_6/03,0.28388774394989014,True,turning left,roundabout,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/03,0.15392084419727325,False,moving straight,bridge,cloudy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/04,0.13514094054698944,False,moving straight,intersection,snowy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/03,0.17674745619297028,False,moving straight,intersection,snowy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_2/01,0.33314967155456543,True,turning left,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/02,0.20218896865844727,False,curved lane driving,city street,cloudy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/01,0.1595773994922638,False,moving straight,city street,cloudy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/01,0.07751704007387161,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/01,0.16539081931114197,False,stop,tunnel,cloudy,daytime
