video_id,correct_score,wrong_score,round
example_01,0.3877,0.2213,1
example_02,0.2218,0.2032,1
example_03,0.6068,0.8492,1
example_04,0.4992,0.0394,1
example_05,0.8046,0.3843,1
example_06,0.9799,0.9722,1
example_07,0.7534,0.7796,1
example_08,0.0019,0.0025,1
example_09,0.8083,0.3784,1
example_10,0.9609,0.9221,1
example_01,0.9893,0.9788,2
example_02,0.0141,0.0024,2
example_03,0.1345,0.0287,2
example_04,0.4992,0.0313,2
example_05,0.7251,0.6273,2
example_06,0.9799,0.9788,2
example_07,0.8632,0.8241,2
example_08,0.4248,0.8282,2
example_09,0.477,0.6651,2
example_10,0.9851,0.9645,2
