clip_dir,n_sentences,n_event_sentences,correlation_all,correlation_event_only
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03,8,2,-0.20483414440254896,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/03,6,0,0.4285714285714286,
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/02,7,0,-0.09009374626955591,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02,8,2,-0.4431217169079058,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_1/03,6,1,0.7142857142857143,
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_5/01,7,3,-0.3386481059780782,-0.8660254037844387
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_2/03,6,1,-0.20291986247835697,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_11/01,8,2,0.261904761904762,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/01,6,0,-0.08827348295047495,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_20/03,8,2,0.25943726083138546,
<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/02,7,0,0.0181848241863327,
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/01,7,0,0.21821789023599242,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_21/01,7,2,-0.20583232685540792,
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_9/01,7,3,-0.1272937693043289,-0.5
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_8/03,6,0,0.08571428571428573,
<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/04,8,1,0.31709143089490066,
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_3/04,5,0,-0.22360679774997894,
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_7/03,7,2,0.037062465833055065,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_11/02,6,1,-0.26482044885142486,
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_3/01,7,1,0.6364688465216446,
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/04,6,1,0.1765469659009499,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_3/03,6,1,0.08827348295047495,
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_11/04,7,1,-0.4865127725673279,
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_6/02,8,2,-0.12049067317796998,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_7/03,7,2,-0.12613124477737828,
